招生信息,,,,,,,,,2024年,,,2023年,,,2022年,,,2021年,,,2020年,,
批次,院校代码,院校名称,专业代码,专业名称,计划人数,学费,学制,选科要求,专业名称2024,投档计划数2024,最低位次2024,专业名称2023,投档计划数2023,最低位次2023,专业名称2022,投档计划数2022,最低位次2022,投档计划数2021,最低位次2021,专业名称2021,投档计划数2020,最低位次2020,专业名称2020
本科提前批,A624,中国民用航空飞行学院,0J,飞行技术(运输机驾驶)(本校自招。报考该专业须提前经过民航专业机构的招飞体检鉴定、民用航空背景调查、飞行职业心理学检测合格。合格考生再依据投档成绩从高到低顺序录取),20,6500,4,物理和化学,,,,,,,,,,2,87442,信息与计算科学,3,76138,安全工程
本科提前批,A030,北京外国语大学,31,马来语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),2,6000,4,不限,,,,,,,,,,,,,2,4201,汉语国际教育
本科提前批,A030,北京外国语大学,33,越南语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),2,6000,4,不限,,,,,,,翻译(外交外事高级翻译),2,2340,,,,,,
本科提前批,A030,北京外国语大学,34,阿尔巴尼亚语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),1,6000,4,不限,,,,,,,,,,,,,2,7559,国际经济与贸易(中外合作办学)
本科提前批,A030,北京外国语大学,35,波兰语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),1,6000,4,不限,,,,,,,传播学,2,6322,,,,,,
本科提前批,A030,北京外国语大学,37,葡萄牙语(法学)(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),1,6000,4,不限,,,,,,,,,,,,,1,3972,信息管理与信息系统(大数据与商务分析方向)
本科提前批,A030,北京外国语大学,39,希腊语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),2,6000,4,不限,,,,翻译(外交外事高级翻译),1,2452,,,,2,4932,传播学,2,3300,外交学
本科提前批,A030,北京外国语大学,40,意大利语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),2,6000,4,不限,,,,,,,,,,2,6105,世界史,,,
本科提前批,A030,北京外国语大学,41,克罗地亚语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),1,6000,4,不限,,,,,,,英语(中央财经大学金融学联合培养),2,3169,,,,1,4219,外交学(法语与法语国家研究)
本科提前批,A030,北京外国语大学,42,丹麦语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),2,6000,4,不限,,,,,,,俄语,2,5047,,,,,,
本科提前批,A030,北京外国语大学,43,冰岛语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),1,6000,4,不限,,,,传播学,2,17071,,,,3,5664,工商管理类,,,
本科提前批,A030,北京外国语大学,44,拉脱维亚语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),1,6000,4,不限,,,,,,,德语,2,4015,3,3304,英语,,,
本科提前批,A030,北京外国语大学,46,阿姆哈拉语(综合评价招生，考生高考总分须达到特殊类型招生控制线；无需高考外语口试成绩),1,6000,4,不限,,,,,,,,,,2,4769,俄语,,,
本科提前批,A422,山东大学,10,汉语国际教育(综合评价招生),10,5280,4,不限,,,,数学类,70,4395,数学类,72,4646,66,4393,数学类,55,4327,数学类
本科提前批,A422,山东大学,Y3,哲学类(综合评价招生)(哲学、宗教学)(含哲学拔尖2.0班、PPE新文科基地班),10,5280,4,不限,,,,,,,,,,100,7557,电气工程及其自动化,,,
本科提前批,A422,山东大学,Y8,中国语言文学类(综合评价招生)(汉语言文学)(含闻一多基地班、中文拔尖2.0班),10,5280,4,不限,,,,能源动力类,60,10131,,,,30,10418,环境科学与工程类,,,
本科提前批,A422,山东大学,YB,历史学类(综合评价招生)(历史学、档案学),10,5280,4,不限,,,,电气工程及其自动化,100,5828,,,,30,8392,预防医学(五年制),,,
本科提前批,A422,山东大学,YE,工商管理类(综合评价招生)(工商管理、会计学)(含工商管理创新实验班),10,6600,4,不限,,,,,,,,,,36,9635,药学类,,,
本科提前批,A422,山东大学,YH,新闻传播学类(综合评价招生)(新闻学、国际新闻与传播),10,5280,4,不限,,,,,,,,,,82,8646,工商管理类,,,
本科提前批,A422,山东大学,YL,管理科学与工程类(综合评价招生)(工程管理)(含智能工程与管理创新实验班；可向供应链管理分流),10,6600,4,物理和化学,,,,,,,药学类,34,9751,20,10274,管理科学与工程类,,,
本科提前批,A422,山东大学,YP,材料类(综合评价招生)(材料科学与工程、材料成型及控制工程)(含先进材料创新人才基地班、卓越工程师培养计划),20,6600,4,物理和化学,,,,,,,工商管理类,70,8843,,,,,,
本科提前批,A422,山东大学,YS,机械类(综合评价招生)(机械设计制造及其自动化、智能制造工程)(含卓越工程师培养计划),20,6600,4,物理和化学,,,,,,,管理科学与工程类,20,11354,15,8080,新闻传播学类,,,
本科提前批,A422,山东大学,YU,自动化类(综合评价招生)(自动化、机器人工程)(含卓越工程师培养计划、自动化科学新工科实验班),10,6600,4,物理和化学,,,,,,,计算机类(软件数媒与大数据方向),160,7050,,,,,,
本科提前批,A422,山东大学,Z2,土木类(综合评价招生)(工程力学、土木、水利与海洋工程)(含“钱七虎学堂”；可向建筑学(五年制)分流),20,6600,4,物理和化学,,,,新闻传播学类,30,14321,,,,,,,,,
本科提前批,A422,山东大学,Z5,智能建造与智慧交通(综合评价招生)(可向城市地下空间工程分流),10,6600,4,物理和化学,,,,网络空间安全,75,7509,,,,,,,,,
本科提前批,A422,山东大学,Z7,电子信息类(综合评价招生，微电子与电路集成方向)(微电子科学与工程、集成电路设计与集成系统)(含黄昆半导体英才班、微系统英才班),10,12000,4,物理和化学,,,,智能建造与智慧交通,35,11219,,,,,,,,,
本科提前批,A423,中国海洋大学,43,德语(仅面向我校综合评价招生测试合格考生),15,5280,4,不限,,,,,,,,,,,,,10,11096,财务管理
本科提前批,A423,中国海洋大学,45,日语(仅面向我校综合评价招生测试合格考生),15,5280,4,不限,,,,工商管理,16,17698,工商管理,15,14320,16,13292,工商管理,16,13246,工商管理
本科提前批,A424,山东科技大学,TC,日语(综合评价招生，外语语种须为英语),20,4400,4,不限,,,,,,,,,,26,76130,朝鲜语,,,
本科提前批,A424,山东科技大学,TH,海洋技术(综合评价招生),20,5500,4,物理和化学,,,,金属材料工程,33,84748,,,,,,,21,66719,机械电子工程(地方专项计划)
本科提前批,A424,山东科技大学,TN,金属材料工程(综合评价招生),20,6600,4,物理和化学,,,,城市地下空间工程,23,96173,,,,47,38820,软件工程,21,83614,测绘工程(地方专项计划)
本科提前批,A424,山东科技大学,TW,测绘工程(综合评价招生),15,6600,4,物理和化学,,,,,,,,,,20,81188,化学工程与工艺(地方专项计划),,,
本科提前批,A424,山东科技大学,U1,资源勘查工程(综合评价招生),10,6600,4,物理和化学,,,,交通运输,43,70193,,,,75,106335,采矿工程,,,
