北京林业大学,土木工程,['土木工程'],4
北京林业大学,生物科学类,"['生物科学', '类']",3
北京林业大学,风景园林,['风景园林'],9
北京林业大学,园林,['园林'],8
北京林业大学,城乡规划,['城乡规划'],2
北京林业大学,园艺(观赏园艺方向),"['园艺', '(', '观赏园艺', '方向', ')']",3
北京林业大学,国际经济与贸易,"['国际', '经济', '与', '贸易']",3
北京林业大学,金融学,['金融学'],3
北京林业大学,统计学,['统计学'],2
北京林业大学,信息管理与信息系统(管理信息方向),"['信息管理', '与', '信息系统', '(', '管理', '信息', '方向', ')']",2
北京林业大学,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",5
北京林业大学,车辆工程,"['车辆', '工程']",5
北京林业大学,自动化,['自动化'],3
北京林业大学,电气工程及其自动化,"['电气工程', '及其', '自动化']",4
北京林业大学,法学,['法学'],4
北京林业大学,应用心理学,"['应用', '心理学']",2
北京林业大学,英语,['英语'],3
北京林业大学,商务英语,['商务英语'],2
北京林业大学,日语,['日语'],3
北京林业大学,信息管理与信息系统,"['信息管理', '与', '信息系统']",2
北京林业大学,计算机类,"['计算机', '类']",8
北京林业大学,数学与应用数学,"['数学', '与', '应用', '数学']",4
北京林业大学,电子信息科学与技术,"['电子信息', '科学', '与', '技术']",2
北京林业大学,环境科学,"['环境', '科学']",2
北京林业大学,环境工程,['环境工程'],3
北京林业大学,给排水科学与工程,"['给排水', '科学', '与', '工程']",2
北京林业大学,草业科学(梁希实验班),"['草业', '科学', '(', '梁希', '实验班', ')']",3
北京林业大学,草坪科学与工程,"['草坪', '科学', '与', '工程']",2
北京林业大学,生物科学(拔尖班),"['生物科学', '(', '拔尖', '班', ')']",2
北京林业大学,林学类(梁希实验班),"['林学', '类', '(', '梁希', '实验班', ')']",2
北京林业大学,水土保持与荒漠化防治(梁希实验班),"['水土保持', '与', '荒漠化', '防治', '(', '梁希', '实验班', ')']",2
北京林业大学,风景园林(梁希实验班),"['风景园林', '(', '梁希', '实验班', ')']",2
北京林业大学,林业工程类(梁希实验班),"['林业', '工程', '类', '(', '梁希', '实验班', ')']",2
北京林业大学,林学类,"['林学', '类']",8
北京林业大学,食品科学与工程,"['食品科学', '与', '工程']",5
北京林业大学,工商管理类,"['工商管理', '类']",10
北京林业大学,林业工程类,"['林业', '工程', '类']",10
北京林业大学,木材科学与工程(中外合作办学),"['木材', '科学', '与', '工程', '(', '中外合作', '办学', ')']",3
北京林业大学,生物技术(中外合作办学),"['生物', '技术', '(', '中外合作', '办学', ')']",2
北京协和医学院,护理学,['护理学'],10
首都医科大学,临床医学(阶平班),"['临床医学', '(', '阶平班', ')']",2
首都医科大学,口腔医学(阶平班),"['口腔医学', '(', '阶平班', ')']",1
首都医科大学,临床医学(5+3一体化),"['临床医学', '(', '5', '+', '3', '一体化', ')']",5
首都医科大学,儿科学(5+3一体化),"['儿科学', '(', '5', '+', '3', '一体化', ')']",2
首都医科大学,口腔医学(5+3一体化),"['口腔医学', '(', '5', '+', '3', '一体化', ')']",1
首都医科大学,临床医学,['临床医学'],4
首都医科大学,精神医学,"['精神', '医学']",2
首都医科大学,基础医学,['基础医学'],2
首都医科大学,预防医学,"['预防', '医学']",3
首都医科大学,临床药学,"['临床', '药学']",2
首都医科大学,听力与言语康复学,"['听力', '与', '言语', '康复', '学']",2
首都医科大学,生物医学工程,"['生物医学', '工程']",1
首都医科大学,康复物理治疗,"['康复', '物理', '治疗']",1
首都医科大学,康复作业治疗,"['康复', '作业', '治疗']",1
首都医科大学,公共事业管理(卫生管理),"['公共事业', '管理', '(', '卫生', '管理', ')']",1
首都医科大学,护理学,['护理学'],2
首都医科大学,助产学,"['助产', '学']",2
北京中医药大学,中医学(领军人才培养计划),"['中医学', '(', '领军', '人才培养', '计划', ')']",1
北京中医药大学,中西医临床医学(华佗班),"['中西医', '临床医学', '(', '华佗', '班', ')']",1
北京中医药大学,中药学(时珍国药班),"['中药学', '(', '时珍', '国药', '班', ')']",1
北京中医药大学,中医学(卓越中医儿科班5+3一体化),"['中医学', '(', '卓越', '中医', '儿', '科班', '5', '+', '3', '一体化', ')']",1
北京中医药大学,中医学(实验班),"['中医学', '(', '实验班', ')']",5
北京中医药大学,中医骨伤科学,"['中医', '骨伤', '科学']",2
北京中医药大学,大数据管理与应用,"['大', '数据管理', '与', '应用']",7
北京中医药大学,英语(医学),"['英语', '(', '医学', ')']",2
北京中医药大学,英语(中医药国际传播),"['英语', '(', '中医药', '国际', '传播', ')']",1
北京中医药大学,护理学,['护理学'],7
北京中医药大学,中医学(卓越5+3一体化),"['中医学', '(', '卓越', '5', '+', '3', '一体化', ')']",14
北京中医药大学,中医学,['中医学'],8
北京中医药大学,针灸推拿学,"['针灸', '推拿学']",8
北京中医药大学,中药学,['中药学'],9
