青岛黄海学院,虚拟现实技术,"['虚拟现实', '技术']",45
青岛黄海学院,土木工程,['土木工程'],42
青岛黄海学院,智能建造,"['智能', '建造']",62
山东现代学院,中药制药,"['中药', '制药']",2
山东现代学院,人工智能,['人工智能'],6
山东现代学院,电子信息工程,"['电子', '信息工程']",6
山东现代学院,交通运输,['交通运输'],4
山东现代学院,土木工程,['土木工程'],7
山东现代学院,网络工程,['网络工程'],6
山东协和学院,汽车服务工程,"['汽车', '服务', '工程']",13
山东协和学院,土木工程,['土木工程'],24
山东协和学院,智能制造工程,"['智能', '制造', '工程']",28
山东协和学院,物联网工程,"['物', '联网', '工程']",26
山东协和学院,软件工程,['软件工程'],16
山东协和学院,数字媒体技术,"['数字', '媒体', '技术']",11
山东协和学院,人工智能,['人工智能'],21
山东协和学院,电子信息工程,"['电子', '信息工程']",10
山东协和学院,机械电子工程,"['机械', '电子', '工程']",20
山东协和学院,数据科学与大数据技术,"['数据', '科学', '与', '大', '数据', '技术']",15
山东协和学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",14
山东协和学院,康复治疗学,"['康复', '治疗学']",29
山东协和学院,医学影像技术,"['医学影像', '技术']",36
山东协和学院,医学检验技术,"['医学', '检验', '技术']",79
山东协和学院,虚拟现实技术,"['虚拟现实', '技术']",40
山东协和学院,智能建造,"['智能', '建造']",36
山东协和学院,智能影像工程,"['智能', '影像', '工程']",55
滇池学院,数学与应用数学,"['数学', '与', '应用', '数学']",1
滇池学院,通信工程,['通信工程'],1
丽江文化旅游学院,电子信息工程,"['电子', '信息工程']",1
丽江文化旅游学院,计算机科学与技术,"['计算机科学', '与', '技术']",2
烟台理工学院,机械设计制造及其自动化,"['机械设计', '制造', '及其', '自动化']",4
烟台理工学院,机械电子工程,"['机械', '电子', '工程']",26
烟台理工学院,车辆工程,"['车辆', '工程']",35
烟台理工学院,智能制造工程,"['智能', '制造', '工程']",57
烟台理工学院,通信工程,['通信工程'],32
烟台理工学院,电子信息科学与技术,"['电子信息', '科学', '与', '技术']",29
烟台理工学院,计算机科学与技术,"['计算机科学', '与', '技术']",28
烟台理工学院,软件工程,['软件工程'],49
烟台理工学院,物联网工程,"['物', '联网', '工程']",36
烟台理工学院,自动化,['自动化'],28
